poi_name,poi_rating,poi_price,poi_category,poi_address,poi_latitude,poi_longitude,source,nearest_bike_station,distance_to_nearest_station,bike_station_name,bike_station_latitude,bike_station_longitude,number_of_bikes
Serkan Hamza | Midye Balık Kokoreç,8.6,1.0,Seafood,"Başak Sok No: 53, 35330 Balçova",38.411718,27.03321,foursquare,İnciraltı Rekreasyon Alanı,195.53912467896444,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Carême Restaurant,8.5,Unknown,Dining and Drinking,"İnciraltı Cad No:67, 35330 Balçova",38.411444,27.031949,foursquare,İnciraltı Rekreasyon Alanı,224.75151489721807,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Angel 35 Tekne Turu,8.0,3.0,Seafood,"Müze Gemiler Yanı İnciraltı, İzmir",38.411373,27.034349,foursquare,İnciraltı Rekreasyon Alanı,273.7165879533468,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Brasserie Restaurant,6.7,2.0,Breakfast,"Akpýnar Cad, No: 17, Demirci",38.41174,27.031932,foursquare,İnciraltı Rekreasyon Alanı,193.41235851317873,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Veli Usta Balık Pişiricisi,8.5,3.0,Seafood,"İnciraltı Cad, 10 Sok, No: 179 / A, İnciraltı (İnciraltı), 35330 Balçova",38.413158,27.030031,foursquare,İnciraltı Rekreasyon Alanı,223.37285475061796,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Metin Kokoreç&Sucuk,8.0,Unknown,Kokoreç Restaurant,"İnciraltı Sahil, İzmir",38.413911,27.028378,foursquare,İnciraltı Rekreasyon Alanı,370.0074450689909,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Gaziantepliler,8.1,Unknown,Kebab,"İnciraltı Cad No:49, Balçova",38.409998,27.034289,foursquare,İnciraltı Rekreasyon Alanı,407.17625512336235,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Barış Kokoreç,7.7,1.0,Food Truck,Unknown,38.413985,27.028201,foursquare,İnciraltı Rekreasyon Alanı,386.5442902014507,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Aslım Kokoreç,7.4,Unknown,Kokoreç Restaurant,İzmir,38.413687,27.028181,foursquare,İnciraltı Rekreasyon Alanı,384.1489099206776,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Özdilek Cafe & Restaurant,6.7,2.0,Café,"İnciraltı Cad No: 67, Balçova",38.410476,27.031376,foursquare,İnciraltı Rekreasyon Alanı,342.01702487789413,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Serkan Hamza Midyecilik,5.0,Unknown,"['Seafood', 'Food Stands']","İnciraltı Mh., İnciraltı Cad. No:94, 35330 İzmir, Turkey",38.411591,27.033164,yelp,İnciraltı Rekreasyon Alanı,208.09879582816123,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Körfez Restaurant,4.0,Unknown,['Seafood'],"İnciraltı Mah., No: 65, 35340 İzmir, Turkey",38.411454,27.033045,yelp,İnciraltı Rekreasyon Alanı,220.73926740881666,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Istanbul Restaurant,4.0,Unknown,['Turkish'],"İnciraltı Cad. 128, Balçova, 35340 İzmir, Turkey",38.4114609,27.0332508,yelp,İnciraltı Rekreasyon Alanı,224.01455965790052,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Çifte Kumrular Plus,4.0,₺₺,"['Fast Food', 'Hookah Bars']","İnciraltı Cad.No: 49, Balçova, 35340 İzmir, Turkey",38.409932,27.034188,yelp,İnciraltı Rekreasyon Alanı,410.9210725792781,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Patlıcan,4.0,₺₺₺,"['Turkish', 'Kebab']","İnciraltı Mah., Yıldız Sok. No:152, 35330 İzmir, Turkey",38.407675,27.031102,yelp,İnciraltı Rekreasyon Alanı,649.9239636711959,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
