poi_name,poi_latitude,poi_longitude,poi_rating,poi_price,poi_category,tel,poi_address,distance,source,nearest_bike_station,distance_to_nearest_station,bike_station_name,bike_station_latitude,bike_station_longitude,number_of_bikes
Serkan Hamza | Midye Balık Kokoreç,38.411718,27.03321,4.3,1.0,Seafood,0535 261 40 39,"Başak Sok No: 53, 35330 Balçova",183.0,foursquare,İnciraltı Rekreasyon Alanı,195.53912467896444,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Carême Restaurant,38.411444,27.031949,4.25,Unknown,Dining and Drinking,0850 755 8888,"İnciraltı Cad No:67, 35330 Balçova",213.0,foursquare,İnciraltı Rekreasyon Alanı,224.75151489721807,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Angel 35 Tekne Turu,38.411373,27.034349,4.0,3.0,Seafood,0555 396 99 51,"Müze Gemiler Yanı İnciraltı, İzmir",273.0,foursquare,İnciraltı Rekreasyon Alanı,273.7165879533468,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Brasserie Restaurant,38.41174,27.031932,3.35,2.0,Breakfast,(0224) 800 08 00,"Akpýnar Cad, No: 17, Demirci",178.0,foursquare,İnciraltı Rekreasyon Alanı,193.41235851317873,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Veli Usta Balık Pişiricisi,38.413158,27.030031,4.25,3.0,Seafood,(0232) 277 77 66,"İnciraltı Cad, 10 Sok, No: 179 / A, İnciraltı (İnciraltı), 35330 Balçova",386.0,foursquare,İnciraltı Rekreasyon Alanı,223.37285475061796,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Metin Kokoreç&Sucuk,38.413911,27.028378,4.0,Unknown,Kokoreç Restaurant,0536 962 83 57,"İnciraltı Sahil, İzmir",371.0,foursquare,İnciraltı Rekreasyon Alanı,370.0074450689909,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Gaziantepliler,38.409998,27.034289,4.05,Unknown,Kebab,(0232) 259 97 38,"İnciraltı Cad No:49, Balçova",400.0,foursquare,İnciraltı Rekreasyon Alanı,407.17625512336235,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Barış Kokoreç,38.413985,27.028201,3.85,1.0,Food Truck,,Unknown,386.0,foursquare,İnciraltı Rekreasyon Alanı,386.5442902014507,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Aslım Kokoreç,38.413687,27.028181,3.7,Unknown,Kokoreç Restaurant,,İzmir,370.0,foursquare,İnciraltı Rekreasyon Alanı,384.1489099206776,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Özdilek Cafe & Restaurant,38.410476,27.031376,3.35,2.0,Café,,"İnciraltı Cad No: 67, Balçova",357.0,foursquare,İnciraltı Rekreasyon Alanı,342.01702487789413,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Serkan Hamza Midyecilik,38.411591,27.033164,5.0,Unknown,"['Seafood', 'Food Stands']",905352614039.0,"İnciraltı Mh., İnciraltı Cad. No:94, 35330 İzmir, Turkey",208.0982710542573,yelp,İnciraltı Rekreasyon Alanı,208.09879582816123,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Körfez Restaurant,38.411454,27.033045,4.0,Unknown,['Seafood'],902322777720.0,"İnciraltı Mah., No: 65, 35340 İzmir, Turkey",220.7387107586877,yelp,İnciraltı Rekreasyon Alanı,220.73926740881666,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Istanbul Restaurant,38.4114609,27.0332508,4.0,Unknown,['Turkish'],902322791699.0,"İnciraltı Cad. 128, Balçova, 35340 İzmir, Turkey",329.46387101613107,yelp,İnciraltı Rekreasyon Alanı,224.01455965790052,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Çifte Kumrular Plus,38.409932,27.034188,4.0,2.0,"['Fast Food', 'Hookah Bars']",902322597585.0,"İnciraltı Cad.No: 49, Balçova, 35340 İzmir, Turkey",410.920036338012,yelp,İnciraltı Rekreasyon Alanı,410.9210725792781,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Patlıcan,38.407675,27.031102,4.0,3.0,"['Turkish', 'Kebab']",902322594969.0,"İnciraltı Mah., Yıldız Sok. No:152, 35330 İzmir, Turkey",649.9223247272465,yelp,İnciraltı Rekreasyon Alanı,649.9239636711959,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Lidaki  Restaurant,38.41402,27.026141,4.0,Unknown,"['Barbeque', 'Seafood', 'Mediterranean']",902322782141.0,"İnciraltı Cd.10 Sok No. 185/ C, Balçova, 35340 İzmir, Turkey",564.7590523379342,yelp,İnciraltı Rekreasyon Alanı,564.7604765176009,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Mercan Restoran,38.40896,27.035261,3.2,Unknown,['Seafood'],902322590128.0,"İnciraltı Cad. No: 98, Balçova, 35340 İzmir, Turkey",546.8282434040008,yelp,İnciraltı Rekreasyon Alanı,546.8296223726306,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Mavi Liman Balık Restaurant,38.413768,27.025074,4.0,Unknown,['Seafood'],902322792334.0,"İnciraltı Cad. No:187/2, Balçova, 35340 İzmir, Turkey",654.8117452740671,yelp,İnciraltı Rekreasyon Alanı,654.8133965445229,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Sahil Restoran Yusuf'un Yeri,38.4137,27.024731,3.7,2.0,['Seafood'],902322590175.0,"İnciraltı Mah., 10. Sok. No: 120 Balçova, 35340 İzmir, Turkey",684.2374879248009,yelp,İnciraltı Rekreasyon Alanı,684.2392133997529,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
İnciraltı Turkuaz,38.408605,27.035993,2.8,1.0,['Fast Food'],902322592727.0,"Gençlik Merkezi  Bakü Bulv., No: 30, İzmir, Turkey",611.1582793041549,yelp,İnciraltı Rekreasyon Alanı,611.1598204969463,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Hacı'nın Yeri,38.406541,27.035695,3.3,Unknown,['Cafeteria'],902322774311.0,"İnciraltı Mah., 10 Sok. No:118, 35340 İzmir, Turkey",810.1718093565024,yelp,İnciraltı Rekreasyon Alanı,810.1738524119149,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Kumrucu Eyüp,38.4086297,27.0355453,3.0,Unknown,['Sandwiches'],902322787058.0,"Fahrettin Altay Mh., Inciralti, 35340 İzmir, Turkey",590.6611611316778,yelp,İnciraltı Rekreasyon Alanı,590.6626506357753,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Erdeniz Balık  Restoran,38.4086059869884,27.0351621508598,3.5,Unknown,['Seafood'],902322590358.0,"İnciraltı Mh., 10. Sk. Balçova, 35330 İzmir, Turkey",579.2450082475059,yelp,İnciraltı Rekreasyon Alanı,579.2464689630035,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Kumrucu İzzet,38.406405,27.035742,1.0,2.0,['Fast Food'],902322780672.0,"İnciraltı Cad., No: 56, 35340 İzmir, Turkey",825.7927003718123,yelp,İnciraltı Rekreasyon Alanı,825.7947828196429,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Zaitun Seafood Restaurant,38.412842,27.015121,4.1,3.0,Seafood,,"Ulupınar Sok No18 Narlıdere (Gürler Caddesi), İzmir",216.0,foursquare,Sahilevleri 1,216.2084147994039,Sahilevleri 1,38.411389,27.013472,40
İsmail Baba Mangal Ve Köy Kahvaltısı,38.408629,27.014746,3.3,2.0,Breakfast,,İzmir,320.0,foursquare,Sahilevleri 1,326.35666814822025,Sahilevleri 1,38.411389,27.013472,40
Casa De Costa,38.407873,27.007969,3.75,Unknown,Restaurant,0535 612 59 72,"Gürler Cad No: 208 Sahilevleri, Narlıdere",603.0,foursquare,Sahilevleri 1,618.6723002051267,Sahilevleri 1,38.411389,27.013472,40
Farklı Cafe & Restaurant,38.4082293,27.0073228,4.0,2.0,"['Cafes', 'Turkish', 'Coffee & Tea']",902322388500.0,"Gürler Cad. No:208, Sahilevleri, Narlıdere, 35320 İzmir, Turkey",640.7079742280054,yelp,Sahilevleri 1,640.709589937446,Sahilevleri 1,38.411389,27.013472,40
İnci büfe,38.4116672,27.014752,3.6,1.0,"['Coffee & Tea', 'Cafes']",,"Sahilevleri Mah. Gürler Sok. No. 7b Narlıdere - İzmir, 35320 İzmir, Turkey",115.7355402602923,yelp,Sahilevleri 1,115.7358321151382,Sahilevleri 1,38.411389,27.013472,40
İnci Çay Bahçesi,38.408435,27.00605,3.0,1.0,"['Coffee & Tea', 'Cafes']",,"Gürler Cad., Sahilevleri, Narlıdere, 35320 İzmir, Turkey",725.3222381392497,yelp,Sahilevleri 1,725.3240672255981,Sahilevleri 1,38.411389,27.013472,40
Pavarotti Sea & More,38.408013,27.002906,4.45,3.0,Seafood,0532 413 29 59,"Gurler Cad No: 122/A (gürler caddesi), 35320 İzmir",985.0,foursquare,Sahilevleri 2,623.5610731594622,Sahilevleri 2,38.406137,26.996162,20
Sahilevleri Barınak Cay Ocağı,38.406712,26.997051,4.4,2.0,Café,,Narlıdere,100.0,foursquare,Sahilevleri 2,100.44150820190227,Sahilevleri 2,38.406137,26.996162,20
Mey-Zade,38.406218,26.997384,3.9,Unknown,Meyhane,,"Gürler Cad No:46, Narlıdere",106.0,foursquare,Sahilevleri 2,106.85972496589567,Sahilevleri 2,38.406137,26.996162,20
'Dut Restaurant Cafe Bar,38.406242,26.9982,4.15,2.0,Café,(0232) 238 79 47,"Gürler Cad No: 54 Sahilevleri, 35320 İzmir",178.0,foursquare,Sahilevleri 2,177.9653409990413,Sahilevleri 2,38.406137,26.996162,20
Taka Balık Evi,38.406118,26.99735,3.9,2.0,Mediterranean,(0232) 239 24 17,"Gürler Cad, No: 50, 35320 Narlıdere",157.0,foursquare,Sahilevleri 2,103.53849857018791,Sahilevleri 2,38.406137,26.996162,20
By Özcan Köşem Balık Evi,38.405905,26.996977,3.2,Unknown,Dining and Drinking,,"Güler Caddesi, İzmir",70.0,foursquare,Sahilevleri 2,75.55595233746406,Sahilevleri 2,38.406137,26.996162,20
Sir Winston,38.406337,26.998561,3.7,2.0,Café,0533 034 15 13,"Gürler Cad No:56, Narlıdere",200.0,foursquare,Sahilevleri 2,210.21733121584973,Sahilevleri 2,38.406137,26.996162,20
Mavisu Balık Evi,38.406987,26.999503,4.3,3.0,Seafood,(0232) 238 27 77,"Gürler Cad, No:70, 35000 İzmir",309.0,foursquare,Sahilevleri 2,306.07654429043384,Sahilevleri 2,38.406137,26.996162,20
Rıhtım Restaurant,38.406012,26.997164,3.1,3.0,Seafood,,Unknown,93.0,foursquare,Sahilevleri 2,88.40924955869903,Sahilevleri 2,38.406137,26.996162,20
Poyraz Balık Evi,38.406835,26.999092,3.75,3.0,Seafood,0536 940 81 48,"Gurler Cad (Sahilevleri), Narlıdere",242.0,foursquare,Sahilevleri 2,266.84254410557384,Sahilevleri 2,38.406137,26.996162,20
Eftelya Balik,38.407048,26.999464,3.8,3.0,Seafood,,"Gurler Cad (Sahilevleri), İzmir",288.0,foursquare,Sahilevleri 2,305.03103061299396,Sahilevleri 2,38.406137,26.996162,20
Dut  Restoran & Cafe-Bar,38.4063603,26.9980034,4.3,1.0,"['Mediterranean', 'Turkish', 'Seafood']",902322387947.0,"Gürler Cad. No:54 Sahilevleri, Narlıdere, 35320 İzmir, Turkey",162.36043041166593,yelp,Sahilevleri 2,162.3608398469869,Sahilevleri 2,38.406137,26.996162,20
