restaurant_name,restaurant_latitude,restaurant_longitude,rating,price,category,tel,address,distance,source
Serkan Hamza | Midye Balık Kokoreç,38.411718,27.03321,4.3,1.0,Seafood,0535 261 40 39,"Başak Sok No: 53, 35330 Balçova",183.0,foursquare
Carême Restaurant,38.411444,27.031949,4.25,,Dining and Drinking,0850 755 8888,"İnciraltı Cad No:67, 35330 Balçova",213.0,foursquare
Angel 35 Tekne Turu,38.411373,27.034349,4.0,3.0,Seafood,0555 396 99 51,"Müze Gemiler Yanı İnciraltı, İzmir",273.0,foursquare
Brasserie Restaurant,38.41174,27.031932,3.35,2.0,Breakfast,(0224) 800 08 00,"Akpýnar Cad, No: 17, Demirci",178.0,foursquare
Veli Usta Balık Pişiricisi,38.413158,27.030031,4.25,3.0,Seafood,(0232) 277 77 66,"İnciraltı Cad, 10 Sok, No: 179 / A, İnciraltı (İnciraltı), 35330 Balçova",386.0,foursquare
Metin Kokoreç&Sucuk,38.413911,27.028378,4.0,,Kokoreç Restaurant,0536 962 83 57,"İnciraltı Sahil, İzmir",371.0,foursquare
Gaziantepliler,38.409998,27.034289,4.05,,Kebab,(0232) 259 97 38,"İnciraltı Cad No:49, Balçova",400.0,foursquare
Barış Kokoreç,38.413985,27.028201,3.85,1.0,Food Truck,,,386.0,foursquare
Aslım Kokoreç,38.413687,27.028181,3.7,,Kokoreç Restaurant,,İzmir,370.0,foursquare
Özdilek Cafe & Restaurant,38.410476,27.031376,3.35,2.0,Café,,"İnciraltı Cad No: 67, Balçova",357.0,foursquare
Zaitun Seafood Restaurant,38.412842,27.015121,4.1,3.0,Seafood,,"Ulupınar Sok No18 Narlıdere (Gürler Caddesi), İzmir",216.0,foursquare
İsmail Baba Mangal Ve Köy Kahvaltısı,38.408629,27.014746,3.3,2.0,Breakfast,,İzmir,320.0,foursquare
Uğrak Mekân,38.411797,27.015894,,,Food Court,,"Gürler Cad Sarıkuş Sok Köşesi (gürler), 35320 İzmir",215.0,foursquare
Güzelbahçe,38.409146,27.011237,,2.0,Café,,"Dünya Da Bir Yer, 35000 İzmir",316.0,foursquare
Hanedan,38.408668,27.014586,,2.0,Café,,"Levent Cad Karatop Sok (Levent Caddesi), İzmir",317.0,foursquare
Mavera Cafe&Restorant,38.408587,27.014857,,2.0,Café,,"Levent Cad Karatop Sok No:3 (Sahilevleri), İzmir",333.0,foursquare
Casa De Costa,38.407873,27.007969,3.75,,Restaurant,0535 612 59 72,"Gürler Cad No: 208 Sahilevleri, Narlıdere",603.0,foursquare
Eyüp'ün Yeri,38.407851,27.012722,,3.0,Seafood,,İzmir,398.0,foursquare
Alev Ablanın Yeri,38.407944,27.009071,,2.0,Fast Food,,,541.0,foursquare
Pavarotti Sea & More,38.408013,27.002906,4.45,3.0,Seafood,0532 413 29 59,"Gurler Cad No: 122/A (gürler caddesi), 35320 İzmir",985.0,foursquare
Sahilevleri Barınak Cay Ocağı,38.406712,26.997051,4.4,2.0,Café,,Narlıdere,100.0,foursquare
Mey-Zade,38.406218,26.997384,3.9,,Meyhane,,"Gürler Cad No:46, Narlıdere",106.0,foursquare
'Dut Restaurant Cafe Bar,38.406242,26.9982,4.15,2.0,Café,(0232) 238 79 47,"Gürler Cad No: 54 Sahilevleri, 35320 İzmir",178.0,foursquare
Taka Balık Evi,38.406118,26.99735,3.9,2.0,Mediterranean,(0232) 239 24 17,"Gürler Cad, No: 50, 35320 Narlıdere",157.0,foursquare
By Özcan Köşem Balık Evi,38.405905,26.996977,3.2,,Dining and Drinking,,"Güler Caddesi, İzmir",70.0,foursquare
Sir Winston,38.406337,26.998561,3.7,2.0,Café,0533 034 15 13,"Gürler Cad No:56, Narlıdere",200.0,foursquare
Mavisu Balık Evi,38.406987,26.999503,4.3,3.0,Seafood,(0232) 238 27 77,"Gürler Cad, No:70, 35000 İzmir",309.0,foursquare
Rıhtım Restaurant,38.406012,26.997164,3.1,3.0,Seafood,,,93.0,foursquare
Poyraz Balık Evi,38.406835,26.999092,3.75,3.0,Seafood,0536 940 81 48,"Gurler Cad (Sahilevleri), Narlıdere",242.0,foursquare
Eftelya Balik,38.407048,26.999464,3.8,3.0,Seafood,,"Gurler Cad (Sahilevleri), İzmir",288.0,foursquare
İnciraltı Engelliler Kafeteryası,38.407269,27.066345,3.9,2.0,Café,(0232) 259 89 22,İzmir,396.0,foursquare
Sipari Restaurant,38.406202,27.06735,4.1,3.0,Seafood,(0232) 259 59 58,"Haydar Aliyev Bul Daire: 4, Levent Marina Tesisleri İnciraltı, Balçova, İzmir, 35140 İzmir",504.0,foursquare
Teras By Tuval,38.406258,27.0674,3.95,3.0,Mediterranean,0532 179 55 56,"Levent Marina, İzmir",497.0,foursquare
Nefes Restoran-Kafe-Bar,38.40592,27.067684,3.75,2.0,Café,,"Levent Marina, İzmir",516.0,foursquare
Tuzu Biberi,38.406334,27.067491,3.65,2.0,Breakfast,,"İzmir Marina (Haydar Aliyev Bulvarı), İzmir",494.0,foursquare
Sahil Evleri Gülhane Restaurant,38.409754,27.062512,,1.0,Fish and Chips Shop,,,341.0,foursquare
Spari Balık Restourant,38.405465,27.066028,,3.0,Seafood,,,389.0,foursquare
Boğaziçi Restaurant - Üçkuyular,38.405394,27.070807,4.45,3.0,Diner,(0232) 278 88 88,"Mustafa Kemal Sahil Bul Vapur İskelesi Üstü Üçkuyular, İzmir",805.0,foursquare
Damak Çatlatan Lezzetler,38.405488,27.068388,3.35,2.0,Turkish,,"Levent Marina Haydar Aliyev Bul No:4, İzmir",600.0,foursquare
Şerefe,38.406611,27.067346,,,Meyhane,,Ückuyular Marina,480.0,foursquare
Eatery,38.39952,27.068038,4.25,,Restaurant,,"İstinye Park, Balçova",610.0,foursquare
Masa Restaurant,38.399388,27.067648,4.25,2.0,Café,(0232) 683 04 48,"İstinye Park (Şehit Binbaşı Ali Resmi Tufan Sok. No:3), 35330 Balçova",635.0,foursquare
Godiva,38.399388,27.067648,4.2,2.0,Café,,"İstinye Park (Şehit Binbaşı Ali Resmi Tufan Sok. No:3), 35330 Balçova",635.0,foursquare
Söğüşçü Mira,38.399244,27.079378,4.0,,Söğüş Place,(0232) 285 55 58,"Mithatpaşa Cad No:1073 (Mithatpaşa), 35280 Konak",197.0,foursquare
Coffeemania,38.399379,27.080053,3.8,2.0,Café,,"Mithatpaşa, 35330 İzmir",210.0,foursquare
Enginar Restaurant & Cafe,38.399105,27.080645,4.3,,Turkish Home Cooking,(0232) 404 55 55,"Mithatpaşa Cad No:1164, İzmir",279.0,foursquare
Café Violin,38.398048,27.077769,4.1,2.0,Café,(0232) 224 14 14,"18 Sok No: 8 A/B, İzmir",280.0,foursquare
Gel Tat,38.39868,27.076967,3.85,2.0,Café,,İzmir,247.0,foursquare
Caffe D'Amore,38.398361,27.077488,3.95,2.0,Café,,İzmir,262.0,foursquare
Bi Mekan Coffee & Bakery,38.398601,27.078349,3.75,2.0,Café,(0232) 224 40 20,"Mithatpaşa Cad No:1087 (Mithatpaşa), 35290 Konak",239.0,foursquare
Söğüşçü Aco Güzelyalı,38.398993,27.080547,4.05,1.0,Fast Food,(0232) 247 28 33,"Mithat Paşa Cad, No: 1045 / Daire: Güzelyalı (Mithatpaşa Cad.), Konak",299.0,foursquare
