restaurant_name,restaurant_latitude,restaurant_longitude,rating,price,category,tel,address,distance,source
Serkan Hamza | Midye Balık Kokoreç,38.411718,27.03321,4.3,1.0,Seafood,0535 261 40 39,"Başak Sok No: 53, 35330 Balçova",183,foursquare
Carême Restaurant,38.411444,27.031949,4.25,,Dining and Drinking,0850 755 8888,"İnciraltı Cad No:67, 35330 Balçova",213,foursquare
Angel 35 Tekne Turu,38.411373,27.034349,4.0,3.0,Seafood,0555 396 99 51,"Müze Gemiler Yanı İnciraltı, İzmir",273,foursquare
Brasserie Restaurant,38.41174,27.031932,3.35,2.0,Breakfast,(0224) 800 08 00,"Akpýnar Cad, No: 17, Demirci",178,foursquare
Veli Usta Balık Pişiricisi,38.413158,27.030031,4.25,3.0,Seafood,(0232) 277 77 66,"İnciraltı Cad, 10 Sok, No: 179 / A, İnciraltı (İnciraltı), 35330 Balçova",386,foursquare
Metin Kokoreç&Sucuk,38.413911,27.028378,4.0,,Kokoreç Restaurant,0536 962 83 57,"İnciraltı Sahil, İzmir",371,foursquare
Gaziantepliler,38.409998,27.034289,4.05,,Kebab,(0232) 259 97 38,"İnciraltı Cad No:49, Balçova",400,foursquare
Barış Kokoreç,38.413985,27.028201,3.85,1.0,Food Truck,,,386,foursquare
Aslım Kokoreç,38.413687,27.028181,3.7,,Kokoreç Restaurant,,İzmir,370,foursquare
Özdilek Cafe & Restaurant,38.410476,27.031376,3.35,2.0,Café,,"İnciraltı Cad No: 67, Balçova",357,foursquare
Zaitun Seafood Restaurant,38.412842,27.015121,4.1,3.0,Seafood,,"Ulupınar Sok No18 Narlıdere (Gürler Caddesi), İzmir",216,foursquare
İsmail Baba Mangal Ve Köy Kahvaltısı,38.408629,27.014746,3.3,2.0,Breakfast,,İzmir,320,foursquare
Uğrak Mekân,38.411797,27.015894,,,Food Court,,"Gürler Cad Sarıkuş Sok Köşesi (gürler), 35320 İzmir",215,foursquare
Güzelbahçe,38.409146,27.011237,,2.0,Café,,"Dünya Da Bir Yer, 35000 İzmir",316,foursquare
Hanedan,38.408668,27.014586,,2.0,Café,,"Levent Cad Karatop Sok (Levent Caddesi), İzmir",317,foursquare
Mavera Cafe&Restorant,38.408587,27.014857,,2.0,Café,,"Levent Cad Karatop Sok No:3 (Sahilevleri), İzmir",333,foursquare
Casa De Costa,38.407873,27.007969,3.75,,Restaurant,0535 612 59 72,"Gürler Cad No: 208 Sahilevleri, Narlıdere",603,foursquare
Eyüp'ün Yeri,38.407851,27.012722,,3.0,Seafood,,İzmir,398,foursquare
Alev Ablanın Yeri,38.407944,27.009071,,2.0,Fast Food,,,541,foursquare
Pavarotti Sea & More,38.408013,27.002906,4.45,3.0,Seafood,0532 413 29 59,"Gurler Cad No: 122/A (gürler caddesi), 35320 İzmir",985,foursquare
Sahilevleri Barınak Cay Ocağı,38.406712,26.997051,4.4,2.0,Café,,Narlıdere,100,foursquare
Mey-Zade,38.406218,26.997384,3.9,,Meyhane,,"Gürler Cad No:46, Narlıdere",106,foursquare
'Dut Restaurant Cafe Bar,38.406242,26.9982,4.15,2.0,Café,(0232) 238 79 47,"Gürler Cad No: 54 Sahilevleri, 35320 İzmir",178,foursquare
Taka Balık Evi,38.406118,26.99735,3.9,2.0,Mediterranean,(0232) 239 24 17,"Gürler Cad, No: 50, 35320 Narlıdere",157,foursquare
By Özcan Köşem Balık Evi,38.405905,26.996977,3.2,,Dining and Drinking,,"Güler Caddesi, İzmir",70,foursquare
Sir Winston,38.406337,26.998561,3.7,2.0,Café,0533 034 15 13,"Gürler Cad No:56, Narlıdere",200,foursquare
Mavisu Balık Evi,38.406987,26.999503,4.3,3.0,Seafood,(0232) 238 27 77,"Gürler Cad, No:70, 35000 İzmir",309,foursquare
Rıhtım Restaurant,38.406012,26.997164,3.1,3.0,Seafood,,,93,foursquare
Poyraz Balık Evi,38.406835,26.999092,3.75,3.0,Seafood,0536 940 81 48,"Gurler Cad (Sahilevleri), Narlıdere",242,foursquare
Eftelya Balik,38.407048,26.999464,3.8,3.0,Seafood,,"Gurler Cad (Sahilevleri), İzmir",288,foursquare
İnciraltı Engelliler Kafeteryası,38.407269,27.066345,3.9,2.0,Café,(0232) 259 89 22,İzmir,396,foursquare
Sipari Restaurant,38.406202,27.06735,4.1,3.0,Seafood,(0232) 259 59 58,"Haydar Aliyev Bul Daire: 4, Levent Marina Tesisleri İnciraltı, Balçova, İzmir, 35140 İzmir",504,foursquare
Teras By Tuval,38.406258,27.0674,3.95,3.0,Mediterranean,0532 179 55 56,"Levent Marina, İzmir",497,foursquare
Nefes Restoran-Kafe-Bar,38.40592,27.067684,3.75,2.0,Café,,"Levent Marina, İzmir",516,foursquare
Tuzu Biberi,38.406334,27.067491,3.65,2.0,Breakfast,,"İzmir Marina (Haydar Aliyev Bulvarı), İzmir",494,foursquare
Sahil Evleri Gülhane Restaurant,38.409754,27.062512,,1.0,Fish and Chips Shop,,,341,foursquare
Spari Balık Restourant,38.405465,27.066028,,3.0,Seafood,,,389,foursquare
Boğaziçi Restaurant - Üçkuyular,38.405394,27.070807,4.45,3.0,Diner,(0232) 278 88 88,"Mustafa Kemal Sahil Bul Vapur İskelesi Üstü Üçkuyular, İzmir",805,foursquare
Damak Çatlatan Lezzetler,38.405488,27.068388,3.35,2.0,Turkish,,"Levent Marina Haydar Aliyev Bul No:4, İzmir",600,foursquare
Şerefe,38.406611,27.067346,,,Meyhane,,Ückuyular Marina,480,foursquare
Boğaziçi Restaurant - Üçkuyular,38.405394,27.070807,4.45,3.0,Diner,(0232) 278 88 88,"Mustafa Kemal Sahil Bul Vapur İskelesi Üstü Üçkuyular, İzmir",116,foursquare
Sipari Restaurant,38.406202,27.06735,4.1,3.0,Seafood,(0232) 259 59 58,"Haydar Aliyev Bul Daire: 4, Levent Marina Tesisleri İnciraltı, Balçova, İzmir, 35140 İzmir",283,foursquare
Nefes Restoran-Kafe-Bar,38.40592,27.067684,3.75,2.0,Café,,"Levent Marina, İzmir",254,foursquare
Teras By Tuval,38.406258,27.0674,3.95,3.0,Mediterranean,0532 179 55 56,"Levent Marina, İzmir",290,foursquare
Tuzu Biberi,38.406334,27.067491,3.65,2.0,Breakfast,,"İzmir Marina (Haydar Aliyev Bulvarı), İzmir",293,foursquare
İnciraltı Engelliler Kafeteryası,38.407269,27.066345,3.9,2.0,Café,(0232) 259 89 22,İzmir,447,foursquare
Eatery,38.39952,27.068038,4.25,,Restaurant,,"İstinye Park, Balçova",610,foursquare
Masa Restaurant,38.399388,27.067648,4.25,2.0,Café,(0232) 683 04 48,"İstinye Park (Şehit Binbaşı Ali Resmi Tufan Sok. No:3), 35330 Balçova",635,foursquare
Godiva,38.399388,27.067648,4.2,2.0,Café,,"İstinye Park (Şehit Binbaşı Ali Resmi Tufan Sok. No:3), 35330 Balçova",635,foursquare
Şerefe,38.406611,27.067346,,,Meyhane,,Ückuyular Marina,322,foursquare
Söğüşçü Mira,38.399244,27.079378,4.0,,Söğüş Place,(0232) 285 55 58,"Mithatpaşa Cad No:1073 (Mithatpaşa), 35280 Konak",197,foursquare
Coffeemania,38.399379,27.080053,3.8,2.0,Café,,"Mithatpaşa, 35330 İzmir",210,foursquare
Enginar Restaurant & Cafe,38.399105,27.080645,4.3,,Turkish Home Cooking,(0232) 404 55 55,"Mithatpaşa Cad No:1164, İzmir",279,foursquare
Café Violin,38.398048,27.077769,4.1,2.0,Café,(0232) 224 14 14,"18 Sok No: 8 A/B, İzmir",280,foursquare
Gel Tat,38.39868,27.076967,3.85,2.0,Café,,İzmir,247,foursquare
Caffe D'Amore,38.398361,27.077488,3.95,2.0,Café,,İzmir,262,foursquare
Bi Mekan Coffee & Bakery,38.398601,27.078349,3.75,2.0,Café,(0232) 224 40 20,"Mithatpaşa Cad No:1087 (Mithatpaşa), 35290 Konak",239,foursquare
Söğüşçü Aco Güzelyalı,38.398993,27.080547,4.05,1.0,Fast Food,(0232) 247 28 33,"Mithat Paşa Cad, No: 1045 / Daire: Güzelyalı (Mithatpaşa Cad.), Konak",299,foursquare
Hatay Unlu Mamuller Güzelyalı Şubesi,38.39891,27.081863,3.95,1.0,Bakery,,,382,foursquare
Göztepe Ekmek Fırını,38.398564,27.08267,4.2,1.0,Bakery,,İzmir,475,foursquare
Göztepe Ekmek Fırını,38.398564,27.08267,4.2,1.0,Bakery,,İzmir,125,foursquare
La Folie Güzelyalı,38.398179,27.08409,4.05,2.0,Restaurant,(0232) 224 08 31,"Mithatpaşa Cad No:1096/A Konak (Mithatpaşa Cd.), 35290 İzmir",116,foursquare
Lezzet Lokantası,38.397715,27.08396,4.2,,Dining and Drinking,(0232) 247 03 45,"40 Sok No: 1 / Cad, 35290 İzmir",154,foursquare
Ceyhan Lokantası,38.397715,27.08396,4.05,,Turkish,(0232) 246 24 77,"40 Sok, No: 3 / B Güzelyalı, 35290 Konak",167,foursquare
Hatay Unlu Mamuller Güzelyalı Şubesi,38.39891,27.081863,3.95,1.0,Bakery,,,175,foursquare
Enginar Restaurant & Cafe,38.399105,27.080645,4.3,,Turkish Home Cooking,(0232) 404 55 55,"Mithatpaşa Cad No:1164, İzmir",277,foursquare
Park Lokantası,38.396848,27.081806,4.45,,Turkish Home Cooking,(0232) 224 83 14,"30 Sok No: 1 / E, Güzelyalı, İzmir",286,foursquare
Söğüşçü Aco Güzelyalı,38.398993,27.080547,4.05,1.0,Fast Food,(0232) 247 28 33,"Mithat Paşa Cad, No: 1045 / Daire: Güzelyalı (Mithatpaşa Cad.), Konak",257,foursquare
The Irish Pub,38.39748,27.085371,3.85,,Irish,,"Mustafa Kemal Sahil Bulvarı, 35290 İzmir",237,foursquare
Sanita,38.397783,27.085687,3.75,2.0,Café,(0232) 224 48 48,"Mustafa Kemal Sahil Bul No:679, Konak",221,foursquare
Charleston Cake & More,38.402033,27.09499,4.55,2.0,Café,0530 445 39 92,"Mithatpaşa Cad No: 850/1 Göztepe - Konak, İzmir",178,foursquare
Enfes Seyler Cafe & Bistro,38.40229,27.095587,4.4,2.0,Café,(0232) 453 17 97,"Mithatpasa Cad No: 739/C Konak (Mithatpaşa Caddesi No:739/C), 35290 İzmir",215,foursquare
Tuzu Biberi Mangal,38.400663,27.092393,3.8,2.0,Turkish,(0232) 224 95 00,"Mithat Paşa Cad No: 888/A, Güzelyalı (Mustafa Kemal Sahil Bulvarı), İzmir",161,foursquare
Cafe Villa Fırat,38.40087,27.094707,4.15,2.0,Café,(0232) 232 89 09,İzmir,218,foursquare
Pizza Venedik Express,38.402508,27.095872,4.1,2.0,Pizza,(0232) 243 17 17,"Mithat Paşa Cad, No: 836 / A, Güzelyalı, 35290 İzmir",231,foursquare
Retro Cafe 29 May,38.402681,27.095932,4.05,2.0,Café,0555 852 50 05,"Mithatpaşa Cad 882/1-a Küçükyalı (Mithatpaşa), İzmir",265,foursquare
Göztepe Kokoreççisi,38.399584,27.091721,4.0,,Kokoreç Restaurant,(0232) 247 33 00,"Mithatpaşa Cad No:918, İzmir",296,foursquare
Gurme Peynircim,38.402978,27.096842,4.05,2.0,Deli,,"Mithatpasa Cad No:824 /A Sadikbey Goztepe, İzmir",338,foursquare
Muzom Restoran,38.399042,27.090965,4.25,,BBQ,(0232) 248 38 38,"Mithatpasa Cad No:956 Sahil Tarafi Goztepe Konak, 35290 İzmir",371,foursquare
Burger Attack,38.399036,27.09009,4.3,2.0,Burgers,(0232) 246 03 02,"Mithatpaşa Cad No: 974/A, 35290 Konak",431,foursquare
Orkinos Restaurant,38.405404,27.098609,4.15,3.0,Seafood,(0232) 244 46 06,İzmir,88,foursquare
No Ondört Coffee,38.403761,27.099385,4.25,2.0,Café,,"Ayşe Mayda Sok No:14, Konak",274,foursquare
Petunya Cafe,38.404444,27.100676,4.0,2.0,Café,0530 766 05 20,"129 Sok No: 12/A (Mithatpaşa Caddesi), 35000 Konak",256,foursquare
Bulut Fırın,38.403913,27.102455,4.55,1.0,Bakery,(0232) 243 18 10,"137 Sok No: 36, Konak",408,foursquare
Küçükyalı Gevrek Fırını,38.406886,27.103158,4.4,1.0,Bakery,(0232) 232 12 82,"Mithat Paşa Cad No:569 Küçükyalı, İzmir",409,foursquare
Gurme Peynircim,38.402978,27.096842,4.05,2.0,Deli,,"Mithatpasa Cad No:824 /A Sadikbey Goztepe, İzmir",391,foursquare
Café La Dose,38.407367,27.103952,4.5,2.0,Café,,İzmir,455,foursquare
Pizza Locale - Mustafa Kemal Sahil,38.407335,27.103751,4.4,2.0,Pizza,(0232) 232 10 00,"Mustafa Kemal Sahil BLV. No:351, 35280 İzmir",451,foursquare
Retro Cafe 29 May,38.402681,27.095932,4.05,2.0,Café,0555 852 50 05,"Mithatpaşa Cad 882/1-a Küçükyalı (Mithatpaşa), İzmir",469,foursquare
Pizza Venedik Express,38.402508,27.095872,4.1,2.0,Pizza,(0232) 243 17 17,"Mithat Paşa Cad, No: 836 / A, Güzelyalı, 35290 İzmir",481,foursquare
Tulumbalı Meyhane,38.40924,27.110555,3.95,,Meyhane,,"Mithatpaşa Cad No:540 Küçükyalı, İzmir",138,foursquare
Muzom Restoran,38.409245,27.110682,3.65,,Meyhane,(0232) 484 60 71,"Mustafa Kemal Sahil Bul No:255/6 Küçükyalı, İzmir",149,foursquare
Tulumbalı Meyhane Cümbüşşş,38.409503,27.113063,4.05,,Meyhane,,"Mithatpaşa Cad No:488/A, İzmir",349,foursquare
Aran Pide Salonu,38.407266,27.105532,4.25,2.0,Pide,(0232) 244 36 75,"Mithat Paşa Cad No:517/B Küçükyalı (Mithatpasa Caddesi), 35280 Konak",379,foursquare
İlk Adresim Restaurant,38.409475,27.113501,3.85,,Meyhane,0507 772 35 00,Konak,384,foursquare
Café La Dose,38.407367,27.103952,4.5,2.0,Café,,İzmir,485,foursquare
