restaurant_name,restaurant_latitude,restaurant_longitude,rating,price,category,tel,address,distance,source
Veli Usta Balık Pişiricisi,38.413049,27.029947,4.4,₺₺₺,['Seafood'],902322777766.0,"10. Sok. No: 179/A, İnciraltı, 35340 İzmir, Turkey",232.39106910956093,yelp
Serkan Hamza Midyecilik,38.411591,27.033164,5.0,,"['Seafood', 'Food Stands']",905352614039.0,"İnciraltı Mh., İnciraltı Cad. No:94, 35330 İzmir, Turkey",208.0982710542573,yelp
Körfez Restaurant,38.411454,27.033045,4.0,,['Seafood'],902322777720.0,"İnciraltı Mah., No: 65, 35340 İzmir, Turkey",220.7387107586877,yelp
Istanbul Restaurant,38.4114609,27.0332508,4.0,,['Turkish'],902322791699.0,"İnciraltı Cad. 128, Balçova, 35340 İzmir, Turkey",329.46387101613107,yelp
Çifte Kumrular Plus,38.409932,27.034188,4.0,₺₺,"['Fast Food', 'Hookah Bars']",902322597585.0,"İnciraltı Cad.No: 49, Balçova, 35340 İzmir, Turkey",410.920036338012,yelp
Patlıcan,38.407675,27.031102,4.0,₺₺₺,"['Turkish', 'Kebab']",902322594969.0,"İnciraltı Mah., Yıldız Sok. No:152, 35330 İzmir, Turkey",649.9223247272465,yelp
Lidaki  Restaurant,38.41402,27.026141,4.0,,"['Barbeque', 'Seafood', 'Mediterranean']",902322782141.0,"İnciraltı Cd.10 Sok No. 185/ C, Balçova, 35340 İzmir, Turkey",564.7590523379342,yelp
Mercan Restoran,38.40896,27.035261,3.2,,['Seafood'],902322590128.0,"İnciraltı Cad. No: 98, Balçova, 35340 İzmir, Turkey",546.8282434040008,yelp
Mavi Liman Balık Restaurant,38.413768,27.025074,4.0,,['Seafood'],902322792334.0,"İnciraltı Cad. No:187/2, Balçova, 35340 İzmir, Turkey",654.8117452740671,yelp
Sahil Restoran Yusuf'un Yeri,38.4137,27.024731,3.7,₺₺,['Seafood'],902322590175.0,"İnciraltı Mah., 10. Sok. No: 120 Balçova, 35340 İzmir, Turkey",684.2374879248009,yelp
İnciraltı Turkuaz,38.408605,27.035993,2.8,₺,['Fast Food'],902322592727.0,"Gençlik Merkezi  Bakü Bulv., No: 30, İzmir, Turkey",611.1582793041549,yelp
Hacı'nın Yeri,38.406541,27.035695,3.3,,['Cafeteria'],902322774311.0,"İnciraltı Mah., 10 Sok. No:118, 35340 İzmir, Turkey",810.1718093565024,yelp
Kumrucu Eyüp,38.4086297,27.0355453,3.0,,['Sandwiches'],902322787058.0,"Fahrettin Altay Mh., Inciralti, 35340 İzmir, Turkey",590.6611611316778,yelp
Erdeniz Balık  Restoran,38.4086059869884,27.0351621508598,3.5,,['Seafood'],902322590358.0,"İnciraltı Mh., 10. Sk. Balçova, 35330 İzmir, Turkey",579.2450082475059,yelp
Kumrucu İzzet,38.406405,27.035742,1.0,₺₺,['Fast Food'],902322780672.0,"İnciraltı Cad., No: 56, 35340 İzmir, Turkey",825.7927003718123,yelp
Farklı Cafe & Restaurant,38.4082293,27.0073228,4.0,₺₺,"['Cafes', 'Turkish', 'Coffee & Tea']",902322388500.0,"Gürler Cad. No:208, Sahilevleri, Narlıdere, 35320 İzmir, Turkey",640.7079742280054,yelp
İnci büfe,38.4116672,27.014752,3.6,₺,"['Coffee & Tea', 'Cafes']",,"Sahilevleri Mah. Gürler Sok. No. 7b Narlıdere - İzmir, 35320 İzmir, Turkey",115.7355402602923,yelp
Sahil Restoran Yusuf'un Yeri,38.4137,27.024731,3.7,₺₺,['Seafood'],902322590175.0,"İnciraltı Mah., 10. Sok. No: 120 Balçova, 35340 İzmir, Turkey",1014.067936942862,yelp
İnci Çay Bahçesi,38.408435,27.00605,3.0,₺,"['Coffee & Tea', 'Cafes']",,"Gürler Cad., Sahilevleri, Narlıdere, 35320 İzmir, Turkey",725.3222381392497,yelp
Dut  Restoran & Cafe-Bar,38.4063603,26.9980034,4.3,₺,"['Mediterranean', 'Turkish', 'Seafood']",902322387947.0,"Gürler Cad. No:54 Sahilevleri, Narlıdere, 35320 İzmir, Turkey",162.36043041166593,yelp
Farklı Cafe & Restaurant,38.4082293,27.0073228,4.0,₺₺,"['Cafes', 'Turkish', 'Coffee & Tea']",902322388500.0,"Gürler Cad. No:208, Sahilevleri, Narlıdere, 35320 İzmir, Turkey",999.9271441333494,yelp
Taka Balık Evi,38.406024,26.995489,4.5,₺₺,['Seafood'],902322392417.0,"Sahil Evleri Mah., Gürler Cad. No: 48 Narlider, 35320 İzmir, Turkey",59.9730867385599,yelp
Yaya Restaurant,38.4256783,27.1984997,4.3,₺₺₺₺,['Restaurants'],902327160266.0,"Kemal Paşa Cad., No: 86/A, İzmir, Turkey",1331.7416341008204,yelp
Neşve Çay Kahve Evi,38.4659309,27.2255096,4.0,₺₺,"['Coffee & Tea', 'Cafes']",902323396262.0,"Kazımdirik Mah. Süvari Cad., No: 56, 35030 İzmir, Turkey",200.5239641331476,yelp
Bizim Gazino,38.40011,26.987634,4.5,,"['Seafood Markets', 'Restaurants']",902322383049.0,"Altıevler Mah., Meyveli Sok. No: 14, İzmir, Turkey",1000.678312831392,yelp
İnci Çay Bahçesi,38.408435,27.00605,3.0,₺,"['Coffee & Tea', 'Cafes']",,"Gürler Cad., Sahilevleri, Narlıdere, 35320 İzmir, Turkey",898.6727516307855,yelp
Potiri Meyhane,38.405989,27.0674,4.2,₺₺₺₺,"['Pubs', 'Turkish']",902322590090.0,"Levent Marina, Haydar Aliyev Bulv.No: 4, İzmir, Turkey",491.377713765608,yelp
Sipari Balık Restaurant,38.406137,27.067246,4.7,,"['Seafood', 'Turkish']",902322595958.0,"Haydar Aliyev Bulv. No: 4, Balçova, İzmir, Turkey",475.72936869475416,yelp
Boğaziçi Restaurant,38.405569,27.070974,4.7,₺₺₺,"['Turkish', 'Seafood', 'Breakfast & Brunch']",902322788888.0,"Bahçelerarası Mah., Mustafa Kemal Sahil Blv., 35920 İzmir, Turkey",806.2725987655206,yelp
Tuval Restaurant,38.4057308,27.0683864000001,5.0,,"['Turkish', 'Mediterranean']",905321795556.0,"Haydar Aliyev Blv. No:4/5, Levent Marina, 35330 İzmir, Turkey",580.9793709919622,yelp
Tarasa Nostalji,38.405926,27.067459,4.0,,"['Fast Food', 'Turkish']",902322590090.0,"Haydar Aliyev Bulv., No: 4, Levant Marina İçinde, İzmir, Turkey",497.6016289195424,yelp
Free Time,38.411634,27.064018,3.5,₺,['Turkish'],902322792854.0,"Novada AVM., Çetin  Emeç Mah.Moda Sok. No:6/ A .Balçova, 35320 İzmir, Turkey",581.8700170015353,yelp
Gizli Bahçe,38.3747902,26.898695,3.6,,['Turkish'],902322341317.0,"Yalı Mah., 144. Sok. No: 27/A-B Güzelbahçe, 35330 İzmir, Turkey",1032.2020332151496,yelp
Peximet,38.398317,27.053289,3.7,₺₺,"['Cafes', 'Coffee & Tea']",902324211010.0,"Agora AVM., Mithatpasa Cad. No:1446 Balcova, İzmir, Turkey",1192.0087963985327,yelp
Potiri Meyhane,38.405989,27.0674,4.2,₺₺₺₺,"['Pubs', 'Turkish']",902322590090.0,"Levent Marina, Haydar Aliyev Bulv.No: 4, İzmir, Turkey",279.6430339635072,yelp
Boğaziçi Restaurant,38.405569,27.070974,4.7,₺₺₺,"['Turkish', 'Seafood', 'Breakfast & Brunch']",902322788888.0,"Bahçelerarası Mah., Mustafa Kemal Sahil Blv., 35920 İzmir, Turkey",113.5373896571081,yelp
Sipari Balık Restaurant,38.406137,27.067246,4.7,,"['Seafood', 'Turkish']",902322595958.0,"Haydar Aliyev Bulv. No: 4, Balçova, İzmir, Turkey",299.52299324982295,yelp
Tuval Restaurant,38.4057308,27.0683864000001,5.0,,"['Turkish', 'Mediterranean']",905321795556.0,"Haydar Aliyev Blv. No:4/5, Levent Marina, 35330 İzmir, Turkey",191.47610968440293,yelp
Tarasa Nostalji,38.405926,27.067459,4.0,,"['Fast Food', 'Turkish']",902322590090.0,"Haydar Aliyev Bulv., No: 4, Levant Marina İçinde, İzmir, Turkey",271.74355435551985,yelp
Peximet Göztepe,38.3988263,27.0788747,4.0,₺,"['Coffee & Tea', 'Cafes']",902324632842.0,"Mithatpaşa Cd. No:1170, Güzelyalı, 35290 İzmir, Turkey",1003.1431794581978,yelp
Egeli Balık Restaurant,38.3992803603057,27.0816243750933,5.0,,['Seafood'],902322483797.0,"Mustafa Kemal Sahil Blv. No:751, Güzelyalı, 35370 İzmir, Turkey",1167.1484032946105,yelp
Peynir Evi Kahvaltı ve Ev Yemekleri,38.396802,27.0640051,5.0,,"['Breakfast & Brunch', 'Homemade Food']",902322599993.0,"Mithatpaşa Cad. No:145-B, Balçova, 35340 İzmir, Turkey",1035.4415381941942,yelp
ACO,38.398941,27.080633,5.0,,['Fast Food'],902322472833.0,"Mithat Paşa Cad., No: 1045/D, 35290 İzmir, Turkey",1115.7682956621322,yelp
Free Time,38.411634,27.064018,3.5,₺,['Turkish'],902322792854.0,"Novada AVM., Çetin  Emeç Mah.Moda Sok. No:6/ A .Balçova, 35320 İzmir, Turkey",935.5616449712436,yelp
İpek Yufka,38.3958015,27.0747299,4.0,₺,['Delis'],902322474203.0,"Gürsel Aksel Bulv., No: 25/B, Tansaş Karşısı, İzmir, Turkey",1070.9948562569346,yelp
Gönül Çorba,38.395906,27.0695885,3.5,,['Soup'],902322775574.0,"Mehmetçik Bulvarı No:2/b Üçkuyular / İzmir, 35290 İzmir, Turkey",984.9619273728084,yelp
Battalbey Çiğköfte,38.395968,27.073705,3.5,₺,['Turkish'],902322247333.0,"Üçkuyular Mah. İnönü Cad., No: 658 D: 2, 35290 İzmir, Turkey",1023.4651576966844,yelp
Meryemce Mantı Evi,38.396465,27.07175,4.0,,['Turkish'],902322469487.0,"Üçkuyular Mah. İnönü Cad., No: 861/B, 35260 İzmir, Turkey",931.3186944647792,yelp
Hamsiköy Akçaabat Köftecisi,38.396793,27.064135,4.0,,['Turkish'],902322595857.0,"Mithat Paşa Cad., No: 305, 35320 İzmir, Turkey",1030.4506033340688,yelp
Güzelyalı Dürümcüsü,38.397997,27.080824,4.0,,"['Turkish', 'Kebab']",902322249991.0,"36. Sok. No: 1, Karakol Karşısı, 45000 İzmir, Turkey",1192.5437029321515,yelp
Waffle'cı Akın,38.398816,27.07949,4.6,,"['Coffee & Tea', 'Cafes', 'Waffles']",902322479082.0,"Mithat Paşa Cad. No:1073/A, Göztepe, 35290 İzmir, Turkey",1044.8930444893708,yelp
By Cicogna Restoran,38.398486,27.080187,3.2,₺₺,['Turkish'],902322590090.0,"Üçkuyular /  İzmir, Haydar Aliyev Bulv. No: 4 Levent Marina İçinde, 35290 İzmir, Turkey",1115.203554904177,yelp
Metehan Şarküteri,38.3950386,27.0698509,4.0,,['Delis'],902322856691.0,"Mehmetçik Bulv. No: 39/ B, 35340 İzmir, Turkey",965.703141729818,yelp
Little Caesars Pizza,38.396559,27.071455,4.0,,['Pizza'],904445244.0,"Üçkuyular Mah., Fahrettin Altay Meydanı No: 2 / A, 35290 İzmir, Turkey",917.5459217137516,yelp
Boğaziçi Restaurant,38.405569,27.070974,4.7,₺₺₺,"['Turkish', 'Seafood', 'Breakfast & Brunch']",902322788888.0,"Bahçelerarası Mah., Mustafa Kemal Sahil Blv., 35920 İzmir, Turkey",829.89950567969,yelp
The Winston Brasserie,38.398146,27.0833632,4.6,₺,"['Brasseries', 'Fast Food']",902322463044.0,"Mithatpaşa Cad. No:1130, Güzelyalı, 35290 İzmir, Turkey",532.761142695756,yelp
Peximet Göztepe,38.3988263,27.0788747,4.0,₺,"['Coffee & Tea', 'Cafes']",902324632842.0,"Mithatpaşa Cd. No:1170, Güzelyalı, 35290 İzmir, Turkey",216.26390778698888,yelp
Sipari Balık Restaurant,38.406137,27.067246,4.7,,"['Seafood', 'Turkish']",902322595958.0,"Haydar Aliyev Bulv. No: 4, Balçova, İzmir, Turkey",1129.1769912396778,yelp
Potiri Meyhane,38.405989,27.0674,4.2,₺₺₺₺,"['Pubs', 'Turkish']",902322590090.0,"Levent Marina, Haydar Aliyev Bulv.No: 4, İzmir, Turkey",1109.0491313504374,yelp
Egeli Balık Restaurant,38.3992803603057,27.0816243750933,5.0,,['Seafood'],902322483797.0,"Mustafa Kemal Sahil Blv. No:751, Güzelyalı, 35370 İzmir, Turkey",338.3658562276468,yelp
Tuval Restaurant,38.4057308,27.0683864000001,5.0,,"['Turkish', 'Mediterranean']",905321795556.0,"Haydar Aliyev Blv. No:4/5, Levent Marina, 35330 İzmir, Turkey",1021.1872316363922,yelp
Seas Tea,38.398734,27.083449,5.0,,"['Bars', 'Cafes', 'Coffee & Tea']",,"Güzelyalı Mah., Otopark İç Yolu No:719, 35290 İzmir, Turkey",507.7861425015445,yelp
Cafe Levent,38.3974826,27.0856024,4.3,₺,"['Cafes', 'Coffee & Tea']",902322245330.0,"Mithatpaşa Cad. No:1054, Güzelyalı, 35290 İzmir, Turkey",738.3926024308179,yelp
Güzelyalı Dürümcüsü,38.397997,27.080824,4.0,,"['Turkish', 'Kebab']",902322249991.0,"36. Sok. No: 1, Karakol Karşısı, 45000 İzmir, Turkey",377.9203469715544,yelp
Avni,38.3987243883523,27.0837328695976,1.0,,"['Coffee & Tea', 'Bistros', 'Cafes']",905307602535.0,"Mithatpaşa Cad. No:1130, 35290 İzmir, Turkey",530.6734775465465,yelp
ACO,38.398941,27.080633,5.0,,['Fast Food'],902322472833.0,"Mithat Paşa Cad., No: 1045/D, 35290 İzmir, Turkey",288.94183821333127,yelp
Gönül Çorba,38.395906,27.0695885,3.5,,['Soup'],902322775574.0,"Mehmetçik Bulvarı No:2/b Üçkuyular / İzmir, 35290 İzmir, Turkey",919.2229019051756,yelp
Waffle'cı Akın,38.398816,27.07949,4.6,,"['Coffee & Tea', 'Cafes', 'Waffles']",902322479082.0,"Mithat Paşa Cad. No:1073/A, Göztepe, 35290 İzmir, Turkey",237.8094870526344,yelp
İpek Yufka,38.3958015,27.0747299,4.0,₺,['Delis'],902322474203.0,"Gürsel Aksel Bulv., No: 25/B, Tansaş Karşısı, İzmir, Turkey",612.9941122129962,yelp
By Cicogna Restoran,38.398486,27.080187,3.2,₺₺,['Turkish'],902322590090.0,"Üçkuyular /  İzmir, Haydar Aliyev Bulv. No: 4 Levent Marina İçinde, 35290 İzmir, Turkey",301.1984470486561,yelp
Mani'nin Mutfağı,38.3933035,27.0891766,5.0,,"['Food Delivery Services', 'Turkish', 'Italian']",902322788807.0,"Esenyalı Mah., 52/72 Sok. No:36/1, 35150 İzmir, Turkey",1262.052136924376,yelp
Sanita Pizza Burger,38.398233,27.085825,3.7,₺₺,['Pizza'],902322242934.0,"Mustafa Kemal Sahil Bulv., No: 679, İzmir, Turkey",719.7364282929459,yelp
Tarasa Nostalji,38.405926,27.067459,4.0,,"['Fast Food', 'Turkish']",902322590090.0,"Haydar Aliyev Bulv., No: 4, Levant Marina İçinde, İzmir, Turkey",1100.978657186065,yelp
Battalbey Çiğköfte,38.395968,27.073705,3.5,₺,['Turkish'],902322247333.0,"Üçkuyular Mah. İnönü Cad., No: 658 D: 2, 35290 İzmir, Turkey",654.8200393260158,yelp
The Winston Brasserie,38.398146,27.0833632,4.6,₺,"['Brasseries', 'Fast Food']",902322463044.0,"Mithatpaşa Cad. No:1130, Güzelyalı, 35290 İzmir, Turkey",121.9787236968511,yelp
Seas Tea,38.398734,27.083449,5.0,,"['Bars', 'Cafes', 'Coffee & Tea']",,"Güzelyalı Mah., Otopark İç Yolu No:719, 35290 İzmir, Turkey",58.11946574479537,yelp
Peximet Göztepe,38.3988263,27.0788747,4.0,₺,"['Coffee & Tea', 'Cafes']",902324632842.0,"Mithatpaşa Cd. No:1170, Güzelyalı, 35290 İzmir, Turkey",426.9590163337445,yelp
Cafe Levent,38.3974826,27.0856024,4.3,₺,"['Cafes', 'Coffee & Tea']",902322245330.0,"Mithatpaşa Cad. No:1054, Güzelyalı, 35290 İzmir, Turkey",250.0072851668025,yelp
Egeli Balık Restaurant,38.3992803603057,27.0816243750933,5.0,,['Seafood'],902322483797.0,"Mustafa Kemal Sahil Blv. No:751, Güzelyalı, 35370 İzmir, Turkey",185.5286373183329,yelp
Avni,38.3987243883523,27.0837328695976,1.0,,"['Coffee & Tea', 'Bistros', 'Cafes']",905307602535.0,"Mithatpaşa Cad. No:1130, 35290 İzmir, Turkey",52.91571384118876,yelp
Ora Lahmacun,38.399129,27.091337,4.3,₺,"['Kebab', 'Lahmacun', 'Pita']",902322444244.0,"Göztepe Mah., Mithat Paşa Cad. No:856 D:1/A, 35320 İzmir, Turkey",661.1269266246096,yelp
